Week Ending Date,State,Observed Number,Upper Bound Threshold,Exceeds Threshold,Average Expected Count,Excess Lower Estimate,Excess Higher Estimate,Year,Total Excess Lower Estimate in 2020,Total Excess Higher Estimate in 2020,Percent Excess Lower Estimate,Percent Excess Higher Estimate,Type,Outcome,Suppress,Note
1/14/17,Alabama,1130,1199,FALSE,1042,0,88,2017,2368,3887,0,0.1,Predicted (weighted),All causes,,
1/21/17,Alabama,1048,1214,FALSE,1057,0,0,2017,2368,3887,0,0,Predicted (weighted),All causes,,
1/28/17,Alabama,1026,1233,FALSE,1076,0,0,2017,2368,3887,0,0,Predicted (weighted),All causes,,
2/4/17,Alabama,1036,1231,FALSE,1074,0,0,2017,2368,3887,0,0,Predicted (weighted),All causes,,
2/11/17,Alabama,1058,1224,FALSE,1071,0,0,2017,2368,3887,0,0,Predicted (weighted),All causes,,
2/18/17,Alabama,1060,1230,FALSE,1074,0,0,2017,2368,3887,0,0,Predicted (weighted),All causes,,
2/25/17,Alabama,1099,1225,FALSE,1070,0,29,2017,2368,3887,0,0,Predicted (weighted),All causes,,
3/4/17,Alabama,1081,1216,FALSE,1060,0,21,2017,2368,3887,0,0,Predicted (weighted),All causes,,
3/11/17,Alabama,1011,1210,FALSE,1055,0,0,2017,2368,3887,0,0,Predicted (weighted),All causes,,
3/18/17,Alabama,1067,1184,FALSE,1033,0,34,2017,2368,3887,0,0,Predicted (weighted),All causes,,
3/25/17,Alabama,1068,1184,FALSE,1031,0,37,2017,2368,3887,0,0,Predicted (weighted),All causes,,
4/1/17,Alabama,991,1168,FALSE,1014,0,0,2017,2368,3887,0,0,Predicted (weighted),All causes,,
4/8/17,Alabama,1037,1164,FALSE,1009,0,28,2017,2368,3887,0,0,Predicted (weighted),All causes,,
4/15/17,Alabama,1017,1154,FALSE,1003,0,14,2017,2368,3887,0,0,Predicted (weighted),All causes,,
4/22/17,Alabama,966,1150,FALSE,1001,0,0,2017,2368,3887,0,0,Predicted (weighted),All causes,,
4/29/17,Alabama,996,1137,FALSE,988,0,8,2017,2368,3887,0,0,Predicted (weighted),All causes,,
5/6/17,Alabama,907,1133,FALSE,985,0,0,2017,2368,3887,0,0,Predicted (weighted),All causes,,
5/13/17,Alabama,1064,1114,FALSE,966,0,98,2017,2368,3887,0,0.1,Predicted (weighted),All causes,,
5/20/17,Alabama,998,1102,FALSE,954,0,44,2017,2368,3887,0,0,Predicted (weighted),All causes,,
5/27/17,Alabama,988,1098,FALSE,954,0,34,2017,2368,3887,0,0,Predicted (weighted),All causes,,
6/3/17,Alabama,925,1092,FALSE,945,0,0,2017,2368,3887,0,0,Predicted (weighted),All causes,,
6/10/17,Alabama,984,1088,FALSE,942,0,42,2017,2368,3887,0,0,Predicted (weighted),All causes,,
6/17/17,Alabama,918,1082,FALSE,937,0,0,2017,2368,3887,0,0,Predicted (weighted),All causes,,
6/24/17,Alabama,961,1077,FALSE,931,0,30,2017,2368,3887,0,0,Predicted (weighted),All causes,,
7/1/17,Alabama,925,1061,FALSE,920,0,5,2017,2368,3887,0,0,Predicted (weighted),All causes,,
7/8/17,Alabama,954,1064,FALSE,920,0,34,2017,2368,3887,0,0,Predicted (weighted),All causes,,
7/15/17,Alabama,968,1064,FALSE,919,0,49,2017,2368,3887,0,0.1,Predicted (weighted),All causes,,
7/22/17,Alabama,964,1078,FALSE,932,0,32,2017,2368,3887,0,0,Predicted (weighted),All causes,,
7/29/17,Alabama,888,1089,FALSE,942,0,0,2017,2368,3887,0,0,Predicted (weighted),All causes,,
8/5/17,Alabama,949,1093,FALSE,948,0,1,2017,2368,3887,0,0,Predicted (weighted),All causes,,
8/12/17,Alabama,936,1097,FALSE,950,0,0,2017,2368,3887,0,0,Predicted (weighted),All causes,,
8/19/17,Alabama,933,1085,FALSE,938,0,0,2017,2368,3887,0,0,Predicted (weighted),All causes,,
8/26/17,Alabama,917,1074,FALSE,929,0,0,2017,2368,3887,0,0,Predicted (weighted),All causes,,
